"Timestamp";"UserPrincipalName";"TemporaryPassword";"Status";"Message"
"2025-12-31 10:10:35";"alif.mardiono@M365x57702712.onmicrosoft.com";"enEf&ZtLkMyc";"SUCCESS";"Password auto-generated and reset"
"2025-12-31 10:10:35";"alif.ramlan@M365x57702712.onmicrosoft.com";"j2A2YQCBnsSm";"SUCCESS";"Password auto-generated and reset"
"2025-12-31 10:10:35";"andi.valentino@M365x57702712.onmicrosoft.com";"%g9bgsA3rWw@";"SUCCESS";"Password auto-generated and reset"
"2025-12-31 10:10:35";"bagas.wibisono@M365x57702712.onmicrosoft.com";"VGq#v9qz9$RU";"SUCCESS";"Password auto-generated and reset"
"2025-12-31 10:10:36";"bima.iskandar@M365x57702712.onmicrosoft.com";"*%sbEuoUUU^w";"SUCCESS";"Password auto-generated and reset"
"2025-12-31 10:10:36";"bima.jamaludin@M365x57702712.onmicrosoft.com";"XSw%%ywn@ny2";"SUCCESS";"Password auto-generated and reset"
"2025-12-31 10:10:36";"bulan.bahari@M365x57702712.onmicrosoft.com";"P4fFs^Z2v8RU";"SUCCESS";"Password auto-generated and reset"
"2025-12-31 10:10:37";"dani.umara@M365x57702712.onmicrosoft.com";"vkFD&Z@6Q*nr";"SUCCESS";"Password auto-generated and reset"
"2025-12-31 10:10:37";"elang.bachtiar@M365x57702712.onmicrosoft.com";"avHNXssQp^9m";"SUCCESS";"Password auto-generated and reset"
"2025-12-31 10:10:37";"fauzi.nasution@M365x57702712.onmicrosoft.com";"t4*S6AYzRHno";"SUCCESS";"Password auto-generated and reset"
"2025-12-31 10:10:38";"fikri.ramdhan@M365x57702712.onmicrosoft.com";"bP&zTJrJUXGW";"SUCCESS";"Password auto-generated and reset"
"2025-12-31 10:10:38";"gery.kautsar@M365x57702712.onmicrosoft.com";"@nxZnUX%bW9@";"SUCCESS";"Password auto-generated and reset"
"2025-12-31 10:10:38";"gilang.effendi@M365x57702712.onmicrosoft.com";"TReUUwQkVY#3";"SUCCESS";"Password auto-generated and reset"
"2025-12-31 10:10:38";"hana.kautsar@M365x57702712.onmicrosoft.com";"LsoWUEtcTDV*";"SUCCESS";"Password auto-generated and reset"
"2025-12-31 10:10:39";"ilham.widianto@M365x57702712.onmicrosoft.com";"*@tRW$hVgzNM";"SUCCESS";"Password auto-generated and reset"
"2025-12-31 10:10:39";"IsaiahL@M365x57702712.OnMicrosoft.com";"xq#9p$hFPQg9";"SUCCESS";"Password auto-generated and reset"
"2025-12-31 10:10:39";"iwan.wiratama@M365x57702712.onmicrosoft.com";"c9Qz#ioZvKv6";"SUCCESS";"Password auto-generated and reset"
"2025-12-31 10:10:40";"jihan.ismail@M365x57702712.onmicrosoft.com";"zgG7LxyB2Sm8";"SUCCESS";"Password auto-generated and reset"
"2025-12-31 10:10:40";"jihan.valianto@M365x57702712.onmicrosoft.com";"UyKE76qDgR$&";"SUCCESS";"Password auto-generated and reset"
"2025-12-31 10:10:40";"admin@M365x57702712.onmicrosoft.com";"vnwo$JYFYbSW";"SUCCESS";"Password auto-generated and reset"
